ID,Content,bIsChoice,Speaker,Target,Action,bEnd,Event,EventTarget,SpeakerID
int,string,bool,string,int[],Enums.INTERACTION_TYPE,bool,Enums.INTERACTION_EVENT,int[],int
1,This is a message.,false,ChatInteraction,2,Enums.INTERACTION_TYPE.Next,false,Enums.INTERACTION_EVENT.None,-1,1
2,Now we have choices.,false,You,"3,4",Enums.INTERACTION_TYPE.Choice,false,Enums.INTERACTION_EVENT.None,-1,1
3,Here's a choice to end the message.,true,ChatInteraction,-1,Enums.INTERACTION_TYPE.End,true,Enums.INTERACTION_EVENT.None,-1,1
4,I'm a choice to jump to the next one.,true,ChatInteraction,5,Enums.INTERACTION_TYPE.Next,false,Enums.INTERACTION_EVENT.None,-1,1
5,This message will end the chat.,false,ChatInteraction,-1,Enums.INTERACTION_TYPE.End,true,Enums.INTERACTION_EVENT.None,-1,1
6,This is the message to start Task 1,false,ChatInteraction,7,Enums.INTERACTION_TYPE.Next,false,Enums.INTERACTION_EVENT.None,-1,1
7,Now we will complete 1 to unlock Task 2,false,ChatInteraction,-1,Enums.INTERACTION_TYPE.End,true,Enums.INTERACTION_EVENT.CompleteTask,1,1
8,Only one sentence for task 2,false,ChatInteraction,"9,10",Enums.INTERACTION_TYPE.Choice,false,Enums.INTERACTION_EVENT.None,-1,1
9,This choice does nothing,true,ChatInteraction,-1,Enums.INTERACTION_TYPE.End,true,Enums.INTERACTION_EVENT.None,-1,1
10,This choice finishes task 2,true,ChatInteraction,-1,Enums.INTERACTION_TYPE.End,true,Enums.INTERACTION_EVENT.CompleteTask,2,1
